fch;valor
2021M06;49382
2021M05;47417
2021M04;43249
2021M03;49686
2021M02;42601
2021M01;36593
2020M12;35568
2020M11;38974
2020M10;37763
2020M09;37710
2020M08;27654
2020M07;37023
2020M06;37054
2020M05;34877
2020M04;32516
2020M03;36588
2020M02;51818
2020M01;56921
2019M12;44001
2019M11;41947
2019M10;40538
2019M09;31506
2019M08;28805
2019M07;46519
2019M06;41466
2019M05;48772
2019M04;39112
2019M03;42410
2019M02;43061
2019M01;49583
2018M12;29106
2018M11;41545
2018M10;41989
2018M09;44612
2018M08;39847
2018M07;40872
2018M06;42046
2018M05;42829
2018M04;40426
2018M03;36525
2018M02;39829
2018M01;42222
2017M12;28228
2017M11;35127
2017M10;34767
2017M09;40758
2017M08;36292
2017M07;35307
2017M06;40959
2017M05;40156
2017M04;29310
2017M03;38742
2017M02;35376
2017M01;37930
2016M12;29181
2016M11;35302
2016M10;33429
2016M09;37093
2016M08;29597
2016M07;27489
2016M06;35976
2016M05;37542
2016M04;33500
2016M03;32414
2016M02;36113
2016M01;33237
2015M12;28588
2015M11;28503
2015M10;29089
2015M09;36435
2015M08;29574
2015M07;34353
2015M06;32137
2015M05;29791
2015M04;28921
2015M03;29988
2015M02;31619
2015M01;32983
2014M12;23377
2014M11;25183
2014M10;27640
2014M09;30334
2014M08;23856
2014M07;27079
2014M06;26168
2014M05;27690
2014M04;23663
2014M03;26111
2014M02;25763
2014M01;28671
2013M12;20944
2013M11;23178
2013M10;25182
2013M09;23594
2013M08;19649
2013M07;23065
2013M06;23919
2013M05;30648
2013M04;29532
2013M03;27448
2013M02;38119
2013M01;41700
2012M12;28438
2012M11;31559
2012M10;31319
2012M09;36570
2012M08;34572
2012M07;41303
2012M06;40745
2012M05;43694
2012M04;35761
2012M03;42367
2012M02;43616
2012M01;46821
2011M12;38691
2011M11;45581
2011M10;39178
2011M09;51033
2011M08;47620
2011M07;46748
2011M06;52225
2011M05;60341
2011M04;49618
2011M03;68917
2011M02;76398
2011M01;75409
2010M12;64040
2010M11;67086
2010M10;62109
2010M09;83330
2010M08;77256
2010M07;84218
2010M06;89140
2010M05;87882
2010M04;80182
2010M03;87137
2010M02;88523
2010M01;90045
2009M12;80619
2009M11;82913
2009M10;89873
2009M09;104748
2009M08;83912
2009M07;100149
2009M06;100074
2009M05;96102
2009M04;82974
2009M03;88735
2009M02;86946
2009M01;85542
2008M12;83217
2008M11;80535
2008M10;102715
2008M09;103312
2008M08;87840
2008M07;114610
2008M06;105301
2008M05;114028
2008M04;124634
2008M03;104690
2008M02;124191
2008M01;138301
2007M12;103175
2007M11;139891
2007M10;145007
2007M09;145326
2007M08;129961
2007M07;149281
2007M06;155584
2007M05;169905
2007M04;139850
2007M03;168948
2007M02;154087
2007M01;179612
2006M12;122696
2006M11;157466
2006M10;157014
2006M09;161212
2006M08;138205
2006M07;152550
2006M06;172168
2006M05;177649
2006M04;137455
2006M03;182682
2006M02;163741
2006M01;173677
2005M12;136265
2005M11;151218
2005M10;145734
2005M09;184936
2005M08;132577
2005M07;140366
2005M06;162570
2005M05;152622
2005M04;154457
2005M03;140240
2005M02;146627
2005M01;151018
2004M12;120664
2004M11;133264
2004M10;128998
2004M09;141770
2004M08;118370
2004M07;134913
2004M06;144604
2004M05;144539
2004M04;125030
2004M03;144743
2004M02;136554
2004M01;135048
2003M12;104404
2003M11;110775
2003M10;129177
2003M09;118209
2003M08;92580
2003M07;113881
2003M06;113086
2003M05;116615
2003M04;104744
2003M03;116565
2003M02;119166
2003M01;118040
